city_us,city_ascii,lat_us,lng_us,country_us,iso2_us,iso3_us,admin_name_us,capital_us,population_us,id_us,city_foreign,lat_foreign,lng_foreign,country_foreign,iso2_foreign,iso3_foreign,admin_name_foreign,capital_foreign,population_foreign,id_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Sudbury,Sudbury,42.3847,-71.4234,United States,US,USA,Massachusetts,,18697.0,1840053489,Sudbury,46.5,-80.9666,Canada,CA,CAN,Ontario,,157857.0,1124539524,"['English', 'French']",True,False,True,False,False,False,False,False
Grafton,Grafton,42.2085,-71.6838,United States,US,USA,Massachusetts,,18517.0,1840053690,Grafton,-29.712,152.9377,Australia,AU,AUS,New South Wales,,9955.0,1036615468,['English'],True,False,False,False,False,False,False,False
Grafton,Grafton,43.3204,-87.9481,United States,US,USA,Wisconsin,,11643.0,1840002823,Grafton,-29.712,152.9377,Australia,AU,AUS,New South Wales,,9955.0,1036615468,['English'],True,False,False,False,False,False,False,False
Grafton,Grafton,41.2808,-82.0368,United States,US,USA,Ohio,,6015.0,1840011590,Grafton,-29.712,152.9377,Australia,AU,AUS,New South Wales,,9955.0,1036615468,['English'],True,False,False,False,False,False,False,False
Grafton,Grafton,39.341,-80.0161,United States,US,USA,West Virginia,,5823.0,1840005779,Grafton,-29.712,152.9377,Australia,AU,AUS,New South Wales,,9955.0,1036615468,['English'],True,False,False,False,False,False,False,False
Melville,Melville,40.7823,-73.4088,United States,US,USA,New York,,18418.0,1840005044,Melville,50.9333,-102.8,Canada,CA,CAN,Saskatchewan,,4279.0,1124823140,"['English', 'French']",True,False,True,False,False,False,False,False
Pembroke,Pembroke,42.0655,-70.8014,United States,US,USA,Massachusetts,,18230.0,1840053573,Pembroke,35.9306,14.4764,Malta,MT,MLT,Pembroke,admin,,1470802229,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Pembroke,Pembroke,42.0655,-70.8014,United States,US,USA,Massachusetts,,18230.0,1840053573,Pembroke,45.8503,-77.1166,Canada,CA,CAN,Ontario,,15551.0,1124877940,"['English', 'French']",True,False,True,False,False,False,False,False
Pembroke,Pembroke,34.6766,-79.1934,United States,US,USA,North Carolina,,7544.0,1840016541,Pembroke,35.9306,14.4764,Malta,MT,MLT,Pembroke,admin,,1470802229,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Pembroke,Pembroke,34.6766,-79.1934,United States,US,USA,North Carolina,,7544.0,1840016541,Pembroke,45.8503,-77.1166,Canada,CA,CAN,Ontario,,15551.0,1124877940,"['English', 'French']",True,False,True,False,False,False,False,False
Pembroke,Pembroke,43.1803,-71.45,United States,US,USA,New Hampshire,,7137.0,1840055381,Pembroke,35.9306,14.4764,Malta,MT,MLT,Pembroke,admin,,1470802229,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Pembroke,Pembroke,43.1803,-71.45,United States,US,USA,New Hampshire,,7137.0,1840055381,Pembroke,45.8503,-77.1166,Canada,CA,CAN,Ontario,,15551.0,1124877940,"['English', 'French']",True,False,True,False,False,False,False,False
El Dorado,El Dorado,33.2184,-92.664,United States,US,USA,Arkansas,,18086.0,1840013773,El Dorado,24.3305,-107.37,Mexico,MX,MEX,Sinaloa,,17365.0,1484719986,['Spanish'],False,True,False,False,False,False,False,False
El Dorado,El Dorado,33.2184,-92.664,United States,US,USA,Arkansas,,18086.0,1840013773,El Dorado,6.7333,-61.6333,Venezuela,VE,VEN,Bolívar,,2383.0,1862242782,['Spanish'],False,True,False,False,False,False,False,False
El Dorado,El Dorado,37.8209,-96.8614,United States,US,USA,Kansas,,14692.0,1840001676,El Dorado,24.3305,-107.37,Mexico,MX,MEX,Sinaloa,,17365.0,1484719986,['Spanish'],False,True,False,False,False,False,False,False
El Dorado,El Dorado,37.8209,-96.8614,United States,US,USA,Kansas,,14692.0,1840001676,El Dorado,6.7333,-61.6333,Venezuela,VE,VEN,Bolívar,,2383.0,1862242782,['Spanish'],False,True,False,False,False,False,False,False
Ada,Ada,34.7686,-96.6689,United States,US,USA,Oklahoma,,17886.0,1840019191,Ada,45.8027,20.1285,Serbia,RS,SRB,Ada,admin,,1688687750,['Serbian'],False,False,False,False,False,False,False,False
Ada,Ada,40.768,-83.8252,United States,US,USA,Ohio,,5598.0,1840010371,Ada,45.8027,20.1285,Serbia,RS,SRB,Ada,admin,,1688687750,['Serbian'],False,False,False,False,False,False,False,False
Maitland,Maitland,28.6295,-81.3718,United States,US,USA,Florida,,17554.0,1840015964,Maitland,-32.721,151.555,Australia,AU,AUS,New South Wales,,18625.0,1036034945,['English'],True,False,False,False,False,False,False,False
