city_ascii,lat_us,lng_us,country_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Gladstone,45.3864,-122.5933,Australia,['English'],True,False,False,False,False,False,False,False
Lewes,38.7781,-75.1454,United Kingdom,['English'],True,False,False,False,False,False,False,False
Stafford,39.7049,-74.2643,United Kingdom,['English'],True,False,False,False,False,False,False,False
Stafford,29.6271,-95.5653,United Kingdom,['English'],True,False,False,False,False,False,False,False
Stafford,41.9876,-72.3122,United Kingdom,['English'],True,False,False,False,False,False,False,False
Wakefield,42.5035,-71.0656,United Kingdom,['English'],True,False,False,False,False,False,False,False
Wakefield,43.5916,-71.0098,United Kingdom,['English'],True,False,False,False,False,False,False,False
Medina,41.1358,-81.8694,Saudi Arabia,['Arabic'],False,False,False,True,False,False,False,False
Medina,43.2197,-78.3888,Saudi Arabia,['Arabic'],False,False,False,True,False,False,False,False
Medina,45.0326,-93.5834,Saudi Arabia,['Arabic'],False,False,False,True,False,False,False,False
Paris,33.6689,-95.5462,France,['French'],False,False,True,False,False,False,False,False
Paris,38.2016,-84.2719,France,['French'],False,False,True,False,False,False,False,False
Paris,36.2933,-88.3065,France,['French'],False,False,True,False,False,False,False,False
Paris,39.6148,-87.6905,France,['French'],False,False,True,False,False,False,False,False
Paris,44.2445,-70.4883,France,['French'],False,False,True,False,False,False,False,False
Moscow,46.7307,-116.9986,Russia,['Russian'],False,False,False,False,False,False,False,False
Palatka,29.6493,-81.6704,Russia,['Russian'],False,False,False,False,False,False,False,False
Yarmouth,41.6768,-70.2248,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Yarmouth,43.7978,-70.1719,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Seymour,38.9477,-85.8912,Australia,['English'],True,False,False,False,False,False,False,False
Seymour,41.381,-73.0873,Australia,['English'],True,False,False,False,False,False,False,False
Seymour,35.8761,-83.7742,Australia,['English'],True,False,False,False,False,False,False,False
Venice,27.1164,-82.4135,Italy,['Italian'],False,False,False,False,False,True,False,False
Munster,41.5469,-87.504,Germany,['German'],False,False,False,False,True,False,False,False
Naples,26.1505,-81.7936,Italy,['Italian'],False,False,False,False,False,True,False,False
Amsterdam,42.942,-74.1907,Netherlands,['Dutch'],False,False,False,False,False,False,False,True
Happy Valley,45.4382,-122.5143,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Berlin,41.6114,-72.7758,Germany,['German'],False,False,False,False,True,False,False,False
Berlin,44.4869,-71.2599,Germany,['German'],False,False,False,False,True,False,False,False
Berlin,39.7915,-74.9375,Germany,['German'],False,False,False,False,True,False,False,False
Stephenville,32.2148,-98.2205,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Ottawa,41.3532,-88.8307,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Ottawa,38.6,-95.2642,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Ottawa,41.0203,-84.0354,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Punta Gorda,26.8934,-82.0516,Belize,['English'],True,False,False,False,False,False,False,False
Durango,37.2744,-107.8703,Mexico,['Spanish'],False,True,False,False,False,False,False,False
Scarborough,43.5911,-70.3682,United Kingdom,['English'],True,False,False,False,False,False,False,False
Scarborough,43.5911,-70.3682,Trinidad And Tobago,['English'],True,False,False,False,False,False,False,False
Carlisle,40.1999,-77.2043,United Kingdom,['English'],True,False,False,False,False,False,False,False
Carlisle,39.5807,-84.3201,United Kingdom,['English'],True,False,False,False,False,False,False,False
Carlisle,42.53,-71.3513,United Kingdom,['English'],True,False,False,False,False,False,False,False
Waterford,41.3692,-72.1483,Ireland,"['Irish', 'English']",True,False,False,False,False,False,False,False
Waterford,39.7415,-74.8207,Ireland,"['Irish', 'English']",True,False,False,False,False,False,False,False
Waterford,37.6429,-120.7553,Ireland,"['Irish', 'English']",True,False,False,False,False,False,False,False
Waterford,42.7646,-88.2158,Ireland,"['Irish', 'English']",True,False,False,False,False,False,False,False
Ennis,32.3239,-96.6377,Ireland,"['Irish', 'English']",True,False,False,False,False,False,False,False
Sudbury,42.3847,-71.4234,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Grafton,42.2085,-71.6838,Australia,['English'],True,False,False,False,False,False,False,False
Grafton,43.3204,-87.9481,Australia,['English'],True,False,False,False,False,False,False,False
Grafton,41.2808,-82.0368,Australia,['English'],True,False,False,False,False,False,False,False
Grafton,39.341,-80.0161,Australia,['English'],True,False,False,False,False,False,False,False
Melville,40.7823,-73.4088,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Pembroke,42.0655,-70.8014,Malta,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Pembroke,42.0655,-70.8014,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Pembroke,34.6766,-79.1934,Malta,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Pembroke,34.6766,-79.1934,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Pembroke,43.1803,-71.45,Malta,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Pembroke,43.1803,-71.45,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
El Dorado,33.2184,-92.664,Mexico,['Spanish'],False,True,False,False,False,False,False,False
El Dorado,33.2184,-92.664,Venezuela,['Spanish'],False,True,False,False,False,False,False,False
El Dorado,37.8209,-96.8614,Mexico,['Spanish'],False,True,False,False,False,False,False,False
El Dorado,37.8209,-96.8614,Venezuela,['Spanish'],False,True,False,False,False,False,False,False
Ada,34.7686,-96.6689,Serbia,['Serbian'],False,False,False,False,False,False,False,False
Ada,40.768,-83.8252,Serbia,['Serbian'],False,False,False,False,False,False,False,False
Maitland,28.6295,-81.3718,Australia,['English'],True,False,False,False,False,False,False,False
